id,key,value,type
25251472,highway,traffic_signals,regular
25251494,highway,traffic_signals,regular
25251496,highway,traffic_signals,regular
25251500,highway,traffic_signals,regular
25251502,highway,traffic_signals,regular
25251509,highway,traffic_signals,regular
25325837,name,VCC-Clark,regular
25325837,subway,yes,regular
25325837,public_transport,stop_position,regular
25325841,name,Renfrew Station,regular
25325841,subway,yes,regular
25325841,railway,station,regular
25325841,wheelchair,yes,regular
25325841,public_transport,stop_position,regular
25477645,highway,traffic_signals,regular
25477650,highway,traffic_signals,regular
25477656,source,Bing,regular
25477656,highway,traffic_signals,regular
25751159,name,Main Street-Science World Station,regular
25751159,subway,yes,regular
25751159,public_transport,stop_position,regular
26046238,stop,minor,regular
26046238,highway,stop,regular
26046281,highway,traffic_signals,regular
26046289,barrier,bollard,regular
26046317,highway,traffic_signals,regular
26046317,traffic_signals,blinker,regular
26046319,highway,traffic_signals,regular
26240689,highway,mini_roundabout,regular
26270969,highway,traffic_signals,regular
26270969,crossing,traffic_signals,regular
26270974,highway,traffic_signals,regular
26577959,highway,mini_roundabout,regular
26577971,source,Yahoo,regular
26577973,source,Yahoo,regular
26577974,source,Yahoo,regular
26577975,source,Yahoo,regular
26577976,source,Yahoo,regular
26577982,highway,traffic_signals,regular
26577982,traffic_signals,signal,regular
26577987,highway,traffic_signals,regular
26577987,crossing,traffic_signals,regular
26951641,highway,mini_roundabout,regular
26951643,junction,roundabout,regular
26951644,highway,traffic_signals,regular
26951674,highway,traffic_signals,regular
27462135,highway,traffic_signals,regular
27462135,traffic_signals,signal,regular
27511857,highway,traffic_signals,regular
27511857,traffic_signals,signal,regular
27519441,highway,traffic_signals,regular
27699300,highway,traffic_signals,regular
27699300,crossing,traffic_signals,regular
27699315,highway,traffic_signals,regular
27699315,crossing,traffic_signals,regular
27699318,crossing,traffic_signals,regular
27699318,highway,traffic_signals,regular
27699324,highway,traffic_signals,regular
27699324,crossing,traffic_signals,regular
27699330,highway,traffic_signals,regular
27699361,highway,traffic_signals,regular
27699361,crossing,traffic_signals,regular
27741192,highway,traffic_signals,regular
27741192,crossing,traffic_signals,regular
28979433,highway,traffic_signals,regular
28979445,highway,traffic_signals,regular
28979467,highway,traffic_signals,regular
28979469,highway,crossing,regular
28979469,crossing,traffic_signals,regular
28979470,highway,traffic_signals,regular
29207970,highway,crossing,regular
29207970,crossing,traffic_signals,regular
29207977,highway,mini_roundabout,regular
29207981,highway,traffic_signals,regular
29207984,highway,traffic_signals,regular
29208011,highway,traffic_signals,regular
29208011,crossing,traffic_signals,regular
29554439,highway,traffic_signals,regular
29554441,highway,traffic_signals,regular
29554441,traffic_signals,signal,regular
29699054,highway,mini_roundabout,regular
29699055,highway,mini_roundabout,regular
29699064,junction,roundabout,regular
29742107,highway,mini_roundabout,regular
29742122,highway,traffic_signals,regular
29742135,highway,mini_roundabout,regular
29767862,highway,traffic_signals,regular
29822913,highway,traffic_signals,regular
29823338,highway,traffic_signals,regular
29823338,crossing,traffic_signals,regular
29823354,highway,traffic_signals,regular
29823354,crossing,traffic_signals,regular
29823370,source,survey,regular
29823370,highway,traffic_signals,regular
29891785,highway,traffic_signals,regular
29891797,highway,traffic_signals,regular
29891817,created_by,JOSM,regular
29891820,barrier,bollard,regular
